ilda_id,letter,mia_stem,mia_citation,form_type,en,url
6708,n,nahkom-,nahkom,stem,"Answer him, give one's consent",https://mc.miamioh.edu/ilda-myaamia/dictionary/entries/6708
13326,n,nahohsee-,nahohsee,stem,Walk well,https://mc.miamioh.edu/ilda-myaamia/dictionary/entries/13326
2463,n,nahsihkicee-,nahsihkicee,stem,Tree swallow (Tachycineta bicolor),https://mc.miamioh.edu/ilda-myaamia/dictionary/entries/2463
2468,n,nahsihšin-,nahsihšin,stem,Lie down and relax,https://mc.miamioh.edu/ilda-myaamia/dictionary/entries/2468
2473,n,nahwee-,nahwee,stem,"Speak well, proper",https://mc.miamioh.edu/ilda-myaamia/dictionary/entries/2473
11494,n,nakaanakw-,nakaanakw,stem,"middle-aged, older man",https://mc.miamioh.edu/ilda-myaamia/dictionary/entries/11494
3523,n,nakaani-,nakaani,stem,"Old one, elder",https://mc.miamioh.edu/ilda-myaamia/dictionary/entries/3523
12762,n,nakaanihsen-,nakaanihsen,stem,"It is an old path, old road",https://mc.miamioh.edu/ilda-myaamia/dictionary/entries/12762
11099,n,nakaaniwi-,nakaaniwi,stem,It is old,https://mc.miamioh.edu/ilda-myaamia/dictionary/entries/11099
13232,n,nakal-,nakal,stem,"Leave him, abandon him",https://mc.miamioh.edu/ilda-myaamia/dictionary/entries/13232
6353,n,nakamoon-,nakamoon,stem,Song,https://mc.miamioh.edu/ilda-myaamia/dictionary/entries/6353
10742,n,nakatam-,nakatam,stem,"Leave it, abandon it",https://mc.miamioh.edu/ilda-myaamia/dictionary/entries/10742
13237,n,nakatamaw-,nakatamaw,stem,Leave something of his,https://mc.miamioh.edu/ilda-myaamia/dictionary/entries/13237
10554,n,nakin-,nakin,stem,"separate him, keep him from fighting, stop him",https://mc.miamioh.edu/ilda-myaamia/dictionary/entries/10554
3528,n,nalaawahki lenasw-,nalaawahki lenasw,stem,"Buffalo, bison (Bison bison)",https://mc.miamioh.edu/ilda-myaamia/dictionary/entries/3528
7928,n,nalaawahki pileew-,nalaawahki pileew,stem,Wild turkey (Meleagris gallopavo),https://mc.miamioh.edu/ilda-myaamia/dictionary/entries/7928
3533,n,nalaawahki pinšiw-,nalaawahki pinšiw,stem,Bobcat (Lynx rufus),https://mc.miamioh.edu/ilda-myaamia/dictionary/entries/3533
213,n,nalaawahki waapinkopakat-,nalaawahki waapinkopakat,stem,"Lamb's quarters (Chenopodium spp.), goosefoot",https://mc.miamioh.edu/ilda-myaamia/dictionary/entries/213
7163,n,naloomin-,naloomin,stem,"Wild Rice (generic) (Zizania aquatica L.), Indian Wheat",https://mc.miamioh.edu/ilda-myaamia/dictionary/entries/7163
7438,n,naloomin-,naloomin,stem,Menominee person,https://mc.miamioh.edu/ilda-myaamia/dictionary/entries/7438
2478,n,nalosi-,nalosi,stem,"Be gentle, tame (as an animal)",https://mc.miamioh.edu/ilda-myaamia/dictionary/entries/2478
4278,n,nameew-,nameew,stem,Sturgeon (Acipenser oxyrinchus oxyrinchus),https://mc.miamioh.edu/ilda-myaamia/dictionary/entries/4278
5783,n,nameewa siipiiw-,nameewa siipiiw,stem,St. Mary's River (Indiana),https://mc.miamioh.edu/ilda-myaamia/dictionary/entries/5783
10029,n,namehk-,namehk,stem,A short time,https://mc.miamioh.edu/ilda-myaamia/dictionary/entries/10029
8608,n,napaholw-,napaholw,stem,"Green Ash (Fraxinus pennsylvanica), White  Ash (Fraxinus americana)",https://mc.miamioh.edu/ilda-myaamia/dictionary/entries/8608
3538,n,napaleeteemin-,napaleeteemin,stem,Black Raspberry (Rubus occidentalis),https://mc.miamioh.edu/ilda-myaamia/dictionary/entries/3538
17089,n,napaliahkonci,napaliahkonci,word,On one side,https://mc.miamioh.edu/ilda-myaamia/dictionary/entries/17089
3543,n,napil-,napil,stem,Common Sucker fish (Catostomus spp.),https://mc.miamioh.edu/ilda-myaamia/dictionary/entries/3543
938,n,natawaapam-,natawaapam,stem,Look for him,https://mc.miamioh.edu/ilda-myaamia/dictionary/entries/938
1593,n,natawaapantam-,natawaapantam,stem,Look for it,https://mc.miamioh.edu/ilda-myaamia/dictionary/entries/1593
17306,n,nataweelim-,nataweelim,stem,Want him,https://mc.miamioh.edu/ilda-myaamia/dictionary/entries/17306
1598,n,nataweelintam-,nataweelintam,stem,"Expect it, demand it",https://mc.miamioh.edu/ilda-myaamia/dictionary/entries/1598
17307,n,nataweelintam-,nataweelintam,stem,Want it,https://mc.miamioh.edu/ilda-myaamia/dictionary/entries/17307
17179,n,nataweewi-,nataweewi,stem,Timber rattlesnake (Crotalus horridus),https://mc.miamioh.edu/ilda-myaamia/dictionary/entries/17179
12340,n,natonamahwi-,natonamahwi,stem,Go hunting,https://mc.miamioh.edu/ilda-myaamia/dictionary/entries/12340
573,n,natoneehw-,natoneehw,stem,"Hunt him, go after him",https://mc.miamioh.edu/ilda-myaamia/dictionary/entries/573
1603,n,natoonam-,natoonam,stem,Catch it (as something thrown),https://mc.miamioh.edu/ilda-myaamia/dictionary/entries/1603
1608,n,natotam-,natotam,stem,Ask for it,https://mc.miamioh.edu/ilda-myaamia/dictionary/entries/1608
7538,n,nawaapam-,nawaapam,stem,"Visit him, go see him for a specific purpose",https://mc.miamioh.edu/ilda-myaamia/dictionary/entries/7538
8728,n,naweelintaakani,naweelintaakani,word,"strategic plan, planning document",https://mc.miamioh.edu/ilda-myaamia/dictionary/entries/8728
11628,n,naweenaakii-,naweenaakii,stem,Lead in singing,https://mc.miamioh.edu/ilda-myaamia/dictionary/entries/11628
2483,n,naweeyohsaa-,naweeyohsaa,stem,"Go first, go ahead",https://mc.miamioh.edu/ilda-myaamia/dictionary/entries/2483
7543,n,nawi,nawi,word,"For that purpose, go and",https://mc.miamioh.edu/ilda-myaamia/dictionary/entries/7543
943,n,nawinaal-,nawinaal,stem,Chase him,https://mc.miamioh.edu/ilda-myaamia/dictionary/entries/943
12265,n,nay-,nay,stem,Carry him (on back),https://mc.miamioh.edu/ilda-myaamia/dictionary/entries/12265
12260,n,nayoo-,nayoo,stem,Carry it (on back),https://mc.miamioh.edu/ilda-myaamia/dictionary/entries/12260
9263,n,nayosi-,nayosi,stem,Champion,https://mc.miamioh.edu/ilda-myaamia/dictionary/entries/9263
7568,n,neehi,neehi,word,And,https://mc.miamioh.edu/ilda-myaamia/dictionary/entries/7568
3518,n,neehiteeheelotaaki-,neehiteeheelotaaki,stem,"Social worker, social provider",https://mc.miamioh.edu/ilda-myaamia/dictionary/entries/3518
5418,n,neehpikaahkw-,neehpikaahkw,stem,"Red osier dogwood (Cornus stolonifera), red willow",https://mc.miamioh.edu/ilda-myaamia/dictionary/entries/5418
8708,n,neehpikalaankwa,neehpikalaankwa,word,Mars (planet),https://mc.miamioh.edu/ilda-myaamia/dictionary/entries/8708
4283,n,neehpiki-pihcit-,neehpiki-pihcit,stem,Northern Cardinal (Cardinalis cardinalis),https://mc.miamioh.edu/ilda-myaamia/dictionary/entries/4283
5863,n,neehpikicaahkoons-,neehpikicaahkoons,stem,"Penny, cent(s)",https://mc.miamioh.edu/ilda-myaamia/dictionary/entries/5863
3563,n,neehpikici-,neehpikici,stem,Cranberry,https://mc.miamioh.edu/ilda-myaamia/dictionary/entries/3563
8048,n,neehpikicii-,neehpikicii,stem,Tomato,https://mc.miamioh.edu/ilda-myaamia/dictionary/entries/8048
3568,n,neehpikitaampeehsi-,neehpikitaampeehsi,stem,Red-bellied Woodpecker (Melanerpes carolinus),https://mc.miamioh.edu/ilda-myaamia/dictionary/entries/3568
2488,n,neehsee-,neehsee,stem,Breathe,https://mc.miamioh.edu/ilda-myaamia/dictionary/entries/2488
9129,n,neehseehpinee-,neehseehpinee,stem,"Breathing, lung disease or illness",https://mc.miamioh.edu/ilda-myaamia/dictionary/entries/9129
17301,n,neehswihsenk-,neehswihsenk,stem,Triangle,https://mc.miamioh.edu/ilda-myaamia/dictionary/entries/17301
17184,n,neehtawi,neehtawi,word,"Only, exclusively, solely, always",https://mc.miamioh.edu/ilda-myaamia/dictionary/entries/17184
12385,n,neehtohkaa-,neehtohkaa,stem,"Go alone, march alone",https://mc.miamioh.edu/ilda-myaamia/dictionary/entries/12385
9560,n,neehtoopi-,neehtoopi,stem,To be alone,https://mc.miamioh.edu/ilda-myaamia/dictionary/entries/9560
2493,n,neehtwapi-,neehtwapi,stem,Sit alone,https://mc.miamioh.edu/ilda-myaamia/dictionary/entries/2493
2498,n,neehtwiiki-,neehtwiiki,stem,Live alone,https://mc.miamioh.edu/ilda-myaamia/dictionary/entries/2498
3548,n,neekatikaši-,neekatikaši,stem,Horse (Equus caballus),https://mc.miamioh.edu/ilda-myaamia/dictionary/entries/3548
5688,n,neekatikašikaan-,neekatikašikaan,stem,Horse stable,https://mc.miamioh.edu/ilda-myaamia/dictionary/entries/5688
8318,n,neekaw-,neekaw,stem,Sand,https://mc.miamioh.edu/ilda-myaamia/dictionary/entries/8318
8323,n,neekawihki-,neekawihki,stem,It is sandy,https://mc.miamioh.edu/ilda-myaamia/dictionary/entries/8323
11410,n,neekawihtan-,neekawihtan,stem,"it is a sandy current, sandy stream",https://mc.miamioh.edu/ilda-myaamia/dictionary/entries/11410
7973,n,neekawikam-,neekawikam,stem,"Sandy water, Aboite River (Indiana), dunes",https://mc.miamioh.edu/ilda-myaamia/dictionary/entries/7973
8798,n,neekawikamii-,neekawikamii,stem,it is sandy water,https://mc.miamioh.edu/ilda-myaamia/dictionary/entries/8798
9398,n,neemawiteeheeyon-,neemawiteeheeyon,stem,Imagination,https://mc.miamioh.edu/ilda-myaamia/dictionary/entries/9398
1613,n,neeme-,neeme,stem,See it,https://mc.miamioh.edu/ilda-myaamia/dictionary/entries/1613
9939,n,neenansionk-,neenansionk,stem,Black Gum (Nyssa sylvatica),https://mc.miamioh.edu/ilda-myaamia/dictionary/entries/9939
7653,n,neenimehki-,neenimehki,stem,Hummingbird,https://mc.miamioh.edu/ilda-myaamia/dictionary/entries/7653
3553,n,neepihki-,neepihki,stem,Doctor,https://mc.miamioh.edu/ilda-myaamia/dictionary/entries/3553
3558,n,neepwaanki-,neepwaanki,stem,Teacher,https://mc.miamioh.edu/ilda-myaamia/dictionary/entries/3558
11779,n,neesÌwakamiik-,neesÌwakamiik,stem,Double Creek (Oklahoma),https://mc.miamioh.edu/ilda-myaamia/dictionary/entries/11779
953,n,neew-,neew,stem,See him,https://mc.miamioh.edu/ilda-myaamia/dictionary/entries/953
7283,n,neewe,neewe,word,Thank you,https://mc.miamioh.edu/ilda-myaamia/dictionary/entries/7283
7208,n,neewikolee-,neewikolee,stem,Fork,https://mc.miamioh.edu/ilda-myaamia/dictionary/entries/7208
