"#name","numbers.pot"
"""135""","""nkotwaahkwe nihswi mateeni yaalanwi"""
"""136""","""nkotwaahkwe nihswi mateeni kaakaathswi"""
"""137""","""nkotwaahkwe nihswi mateeni swaahteethswi"""
"""138""","""nkotwaahkwe nihswi mateeni palaani"""
"""139""","""nkotwaahkwe nihswi mateeni nkotimeneehki"""
"""140""","""nkotwaahkwe niiwi mateeni """
"""141""","""nkotwaahkwe niiwi mateeni nkoti"""
"""142""","""nkotwaahkwe niiwi mateeni niišwi"""
"""143""","""nkotwaahkwe niiwi mateeni nihswi"""
"""144""","""nkotwaahkwe niiwi mateeni niiwi"""
"""145""","""nkotwaahkwe niiwi mateeni yaalanwi"""
"""146""","""nkotwaahkwe niiwi mateeni kaakaathswi"""
"""147""","""nkotwaahkwe niiwi mateeni swaahteethswi"""
"""148""","""nkotwaahkwe niiwi mateeni palaani"""
"""149""","""nkotwaahkwe niiwi mateeni nkotimeneehki"""
"""150""","""nkotwaahkwe yaalanwi mateeni """
"""151""","""nkotwaahkwe yaalanwi mateeni nkoti"""
"""152""","""nkotwaahkwe yaalanwi mateeni niišwi"""
"""153""","""nkotwaahkwe yaalanwi mateeni nihswi"""
"""154""","""nkotwaahkwe yaalanwi mateeni niiwi"""
"""155""","""nkotwaahkwe yaalanwi mateeni yaalanwi"""
"""156""","""nkotwaahkwe yaalanwi mateeni kaakaathswi"""
"""157""","""nkotwaahkwe yaalanwi mateeni swaahteethswi"""
"""158""","""nkotwaahkwe yaalanwi mateeni palaani"""
"""159""","""nkotwaahkwe yaalanwi mateeni nkotimeneehki"""
"""160""","""nkotwaahkwe kaakaathswi mateeni """
"""161""","""nkotwaahkwe kaakaathswi mateeni nkoti"""
"""162""","""nkotwaahkwe kaakaathswi mateeni niišwi"""
"""163""","""nkotwaahkwe kaakaathswi mateeni nihswi"""
"""164""","""nkotwaahkwe kaakaathswi mateeni niiwi"""
"""165""","""nkotwaahkwe kaakaathswi mateeni yaalanwi"""
